epoch,g_loss,d_loss,g_running_loss,d_running_loss,time
1,0.13032232224941254,-0.3147635757923126,0.27592756063771634,0.7142647022479459,2023-10-24 10:40:05.220245
2,-0.9940567016601562,-0.4182072877883911,0.3312471417280344,0.436534826672044,2023-10-24 10:41:11.814240
3,-0.43369796872138977,-0.11868883669376373,0.32911761588820443,0.5148383979186009,2023-10-24 10:42:15.962357
4,-1.6339036226272583,0.9244935512542725,0.35198708190035966,0.6679936625055878,2023-10-24 10:43:06.346450
5,-1.491601586341858,-0.4116405248641968,0.38029022453737404,0.6775682624669837,2023-10-24 10:43:57.118028
6,-0.3324997127056122,0.4712490439414978,0.37887498652675616,0.8295875641537136,2023-10-24 10:44:48.329522
7,-0.6866368055343628,-0.12778335809707642,0.3901544310084661,0.775190402981533,2023-10-24 10:45:39.400368
8,-0.8801926374435425,0.3736570477485657,0.3712300657094852,0.8235632107354632,2023-10-24 10:46:29.917927
9,-1.7787126302719116,-0.4468836784362793,0.34547020262672834,1.0988639556927238,2023-10-24 10:47:19.160865
10,-0.5864876508712769,0.16010397672653198,0.3567122993349788,1.2622314242830854,2023-10-24 10:48:24.070388
11,-0.2826450765132904,0.6883243322372437,0.37611636986978625,1.0329330614524652,2023-10-24 10:49:30.545056
12,-1.0930267572402954,-0.5868704319000244,0.37964324983447667,1.0878129030110293,2023-10-24 10:50:36.094386
13,-0.6770668029785156,-0.3964211046695709,0.3607872142814673,1.2920888755772157,2023-10-24 10:51:43.993666
14,-1.2992128133773804,0.07284021377563477,0.3153990239417746,1.0120471297623779,2023-10-24 10:52:47.788063
15,-0.5072407126426697,-0.1667318344116211,0.33331535755079766,0.9877567152329626,2023-10-24 10:53:54.617132
16,-0.9399052858352661,0.1277095079421997,0.35146863472003204,1.1010334725691542,2023-10-24 10:55:01.656342
17,-0.8496407866477966,0.8261213302612305,0.38463399558505307,0.8389544360931616,2023-10-24 10:56:02.788573
18,-0.930008053779602,0.14419353008270264,0.42984161302748963,0.7157282275359829,2023-10-24 10:57:10.191305
19,-1.9399288892745972,-0.7297201156616211,0.3590747246797751,1.0357088686329,2023-10-24 10:58:17.110952
20,-1.6926683187484741,-0.2817080020904541,0.34675425605618426,0.8104889194079513,2023-10-24 10:59:23.942000
