epoch,g_loss,d_loss,g_running_loss,d_running_loss,time
1,2.0984103679656982,-0.3407832086086273,0.5362873637332366,1.9601673786456768,2023-09-27 10:12:48.582113
2,1.2201701402664185,0.1196625828742981,0.13674851289162268,1.4746579463665301,2023-09-27 10:12:52.117365
3,0.549456000328064,0.1475163698196411,0.0990859215076153,0.8732633645717914,2023-09-27 10:12:55.552968
4,0.28340446949005127,0.14704620838165283,0.10024391687833346,0.5191974850801321,2023-09-27 10:12:58.819404
5,0.04401123523712158,-0.08789694309234619,0.0953031246478741,0.1729366082411546,2023-09-27 10:13:02.317088
6,-0.4445401430130005,0.10311341285705566,0.08755837220412034,0.22759962815504808,2023-09-27 10:13:05.863200
7,-0.6983651518821716,-0.040940046310424805,0.06092267403235802,0.6770371015255268,2023-09-27 10:13:09.267713
8,-1.3918876647949219,-0.04323685169219971,0.09716875369732196,1.0112863714878375,2023-09-27 10:13:12.753930
9,-1.3112587928771973,-0.007077455520629883,0.0681214479299692,1.2585312164746798,2023-09-27 10:13:16.199519
10,-1.3778883218765259,-0.0033330917358398438,0.07434560335599459,1.3713664623407218,2023-09-27 10:13:19.720763
11,-1.6937743425369263,0.2115767002105713,0.0735168218612671,1.4490332566774808,2023-09-27 10:13:23.299603
12,-1.3831984996795654,-0.27638256549835205,0.09128905443044809,1.4829331929867084,2023-09-27 10:13:26.750258
13,-1.3856436014175415,-0.03133857250213623,0.09867270909822905,1.4135274501947257,2023-09-27 10:13:30.283577
14,-1.583677887916565,-0.14761602878570557,0.10377538754389837,1.5015874055715708,2023-09-27 10:13:33.824589
15,-1.4428008794784546,-0.018665671348571777,0.11049609367664044,1.3740292090636033,2023-09-27 10:13:37.343388
16,-1.102163314819336,-0.2269752025604248,0.11639486092787522,1.3554225536493154,2023-09-27 10:13:40.749018
17,-1.3451619148254395,-0.14616775512695312,0.12410906828366793,1.2292139869469862,2023-09-27 10:13:44.118349
18,-1.111802577972412,0.02630138397216797,0.13967693860714253,1.0822154081784763,2023-09-27 10:13:47.525437
19,-0.7975573539733887,-0.15298503637313843,0.13166826504927415,1.1441217468335079,2023-09-27 10:13:51.047780
20,-0.8579156398773193,-0.28766000270843506,0.13214755241687481,1.0264336026631868,2023-09-27 10:13:54.574260
21,-0.8326094150543213,-0.030451059341430664,0.13486255682431736,1.0093337792616623,2023-09-27 10:13:57.823043
