epoch,g_loss,d_loss,g_running_loss,d_running_loss,time
1,1.2399461269378662,-0.16980624198913574,0.4859782825582303,1.4380285437290485,2023-12-20 14:03:34.040708
2,0.6881468296051025,0.16770493984222412,0.1376250670506404,0.3356433629989624,2023-12-20 14:03:39.891077
3,0.14133232831954956,0.0008710026741027832,0.10078983811231759,0.25383161168832047,2023-12-20 14:03:45.661578
4,0.19950532913208008,-0.22047030925750732,0.11367177367210388,0.3656286693536318,2023-12-20 14:03:51.465994
5,-0.6129438281059265,0.236150324344635,0.13431455217874966,0.6699221186912977,2023-12-20 14:03:57.212192
6,-0.393503338098526,0.006869316101074219,0.07142142791014451,0.9104344588059645,2023-12-20 14:04:02.996956
7,-0.8270620107650757,-0.09267616271972656,0.08723110235654391,1.2019179500066317,2023-12-20 14:04:08.774315
8,-1.1283130645751953,-0.027592778205871582,0.0663259322826679,1.4212853890198929,2023-12-20 14:04:14.582496
9,-1.286971092224121,-0.10223174095153809,0.07229564373309795,1.610793082530682,2023-12-20 14:04:20.365823
10,-1.6076443195343018,0.09966564178466797,0.08781201839447021,1.7515108860456026,2023-12-20 14:04:26.160780
